tensor([[0.0164]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.9675, grad_fn=<DivBackward0>)
tensor([[0.8607]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.4935, grad_fn=<DivBackward0>)
tensor([[25.9336]], grad_fn=<AddmmBackward0>) tensor([[0.3750]])
Average loss: tensor(218.0764, grad_fn=<DivBackward0>)
tensor([[0.6332]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(163.5910, grad_fn=<DivBackward0>)
tensor([[0.0672]], grad_fn=<AddmmBackward0>) tensor([[0.1429]])
Average loss: tensor(130.8739, grad_fn=<DivBackward0>)
tensor([[0.0272]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(109.2193, grad_fn=<DivBackward0>)
tensor([[0.0244]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(93.6167, grad_fn=<DivBackward0>)
tensor([[0.0026]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(82.0152, grad_fn=<DivBackward0>)
tensor([[-0.0075]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(72.9024, grad_fn=<DivBackward0>)
tensor([[-0.0114]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(65.7145, grad_fn=<DivBackward0>)
tensor([[-0.0120]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(59.7405, grad_fn=<DivBackward0>)
tensor([[-0.0173]], grad_fn=<AddmmBackward0>) tensor([[0.8750]])
Average loss: tensor(54.8284, grad_fn=<DivBackward0>)
tensor([[-0.0194]], grad_fn=<AddmmBackward0>) tensor([[0.7143]])
Average loss: tensor(50.6523, grad_fn=<DivBackward0>)
tensor([[-0.0213]], grad_fn=<AddmmBackward0>) tensor([[0.5714]])
Average loss: tensor(47.0593, grad_fn=<DivBackward0>)
tensor([[-0.0212]], grad_fn=<AddmmBackward0>) tensor([[0.1429]])
Average loss: tensor(43.9238, grad_fn=<DivBackward0>)
tensor([[-0.0225]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(41.2439, grad_fn=<DivBackward0>)
tensor([[-0.0247]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(38.8796, grad_fn=<DivBackward0>)
tensor([[-0.0238]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(36.7197, grad_fn=<DivBackward0>)
tensor([[-0.0255]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(34.8424, grad_fn=<DivBackward0>)
tensor([[-0.0260]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(33.1529, grad_fn=<DivBackward0>)
tensor([[-0.0188]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(31.5742, grad_fn=<DivBackward0>)
tensor([[-0.0198]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(30.1863, grad_fn=<DivBackward0>)
tensor([[-0.0156]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(28.8739, grad_fn=<DivBackward0>)
tensor([[-0.0153]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(27.6708, grad_fn=<DivBackward0>)
tensor([[-0.0200]], grad_fn=<AddmmBackward0>) tensor([[0.4000]])
Average loss: tensor(26.5710, grad_fn=<DivBackward0>)
tensor([[-0.0113]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(25.5491, grad_fn=<DivBackward0>)
tensor([[-0.0087]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(24.6028, grad_fn=<DivBackward0>)
tensor([[-0.0119]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(23.7607, grad_fn=<DivBackward0>)
