scene,listener,system,predicted
S09637,L0240,E013,74.16873931884766
S08636,L0218,E013,72.53201293945312
S08575,L0236,E013,67.23135375976562
S08614,L0239,E013,68.61219787597656
S09262,L0209,E013,66.48250579833984
S09436,L0216,E013,74.17303466796875
S09436,L0202,E013,74.16996002197266
S09142,L0218,E013,72.53195190429688
S08759,L0229,E013,67.23054504394531
S09704,L0200,E013,68.61211395263672
S09040,L0235,E013,66.48250579833984
S09380,L0201,E013,74.1699447631836
S09455,L0215,E013,72.53202056884766
S09281,L0224,E013,67.23101043701172
S09581,L0201,E013,68.61210632324219
S09248,L0225,E013,66.48250579833984
S09248,L0231,E013,66.48250579833984
S09532,L0201,E013,74.17402648925781
S09564,L0217,E013,72.53227233886719
S08540,L0222,E013,67.23090362548828
S09894,L0236,E013,68.61219787597656
S08606,L0217,E013,66.48250579833984
S08751,L0224,E013,74.17361450195312
S08798,L0224,E013,72.53197479248047
S08653,L0235,E013,67.23049926757812
S09450,L0227,E013,68.61197662353516
S08998,L0217,E013,66.48250579833984
S08660,L0227,E013,74.17073059082031
S09463,L0209,E013,72.53214263916016
S09856,L0224,E013,67.23143005371094
S09811,L0229,E013,68.61196899414062
S08752,L0206,E013,66.48250579833984
S09509,L0235,E013,74.16954803466797
S09793,L0231,E013,72.53240203857422
S08579,L0241,E013,67.23091125488281
S08800,L0221,E013,68.61196899414062
S09569,L0202,E013,66.48250579833984
S09951,L0206,E013,74.17445373535156
S08781,L0231,E013,72.53218078613281
S08781,L0225,E013,72.53231048583984
S08625,L0243,E013,67.23056030273438
S09034,L0229,E013,68.6121597290039
S09904,L0231,E013,66.48250579833984
S08905,L0241,E013,74.17524719238281
S09961,L0235,E013,72.53248596191406
S09214,L0243,E013,67.2305679321289
S08555,L0242,E013,68.61212158203125
S09018,L0216,E013,66.48250579833984
S09770,L0221,E013,74.17056274414062
S08969,L0216,E013,72.53182983398438
S09282,L0206,E013,67.23098754882812
S09282,L0212,E013,67.23092651367188
S08969,L0202,E013,72.531982421875
S09181,L0241,E013,68.61199951171875
S08862,L0240,E013,66.48250579833984
S08739,L0220,E013,74.17018127441406
S09830,L0201,E013,72.53206634521484
S09460,L0216,E013,67.23078155517578
S09460,L0202,E013,67.23065185546875
S09833,L0235,E013,68.61199188232422
S08686,L0206,E013,66.48250579833984
S09067,L0225,E013,74.17021942138672
S08627,L0215,E013,72.53128051757812
S09158,L0239,E013,67.2312240600586
S09067,L0219,E013,74.16996002197266
S08973,L0225,E013,68.61204528808594
S09573,L0224,E013,66.48250579833984
S09228,L0215,E013,74.17264556884766
S08899,L0209,E013,72.53145599365234
S09363,L0202,E013,67.230712890625
S09945,L0217,E013,68.61241912841797
S08685,L0236,E013,66.48250579833984
S09314,L0229,E013,74.17047882080078
S08725,L0200,E013,72.53211975097656
S09877,L0220,E013,67.23062133789062
S08853,L0215,E013,68.61225128173828
S08713,L0209,E013,66.48250579833984
S08800,L0218,E013,68.61199951171875
S09264,L0208,E013,74.16976165771484
S09040,L0227,E013,66.48250579833984
S09188,L0216,E013,72.53225708007812
S09193,L0242,E013,67.2310791015625
S09231,L0202,E013,68.6120376586914
S09606,L0217,E013,66.48250579833984
S08600,L0202,E013,74.17170715332031
S08794,L0242,E013,72.53111267089844
S09827,L0224,E013,67.23107147216797
S09426,L0241,E013,68.61211395263672
S09321,L0229,E013,66.48250579833984
S09264,L0209,E013,74.17106628417969
S09770,L0218,E013,74.17189025878906
S08952,L0231,E013,74.17060089111328
S09308,L0218,E013,72.53211212158203
S09515,L0229,E013,67.23068237304688
S09913,L0200,E013,68.61225128173828
S09625,L0240,E013,66.48250579833984
S08653,L0227,E013,67.23072814941406
S09450,L0235,E013,68.61195373535156
S09666,L0235,E013,74.169921875
S09574,L0241,E013,72.5315933227539
S08899,L0208,E013,72.53185272216797
S09338,L0202,E013,67.2308349609375
S08660,L0235,E013,74.17013549804688
S08546,L0209,E013,68.61212158203125
S08636,L0221,E013,72.53228759765625
S09317,L0236,E013,66.48250579833984
S09767,L0212,E013,74.17282104492188
S08961,L0221,E013,72.53231811523438
S09844,L0231,E013,67.23064422607422
S09509,L0227,E013,74.16989135742188
S09082,L0208,E013,68.61214447021484
S09857,L0241,E013,66.48250579833984
S09627,L0215,E013,74.17140197753906
S09593,L0216,E013,72.53132629394531
S09593,L0202,E013,72.53165435791016
S09259,L0212,E013,67.23077392578125
S09259,L0206,E013,67.2308349609375
S09377,L0229,E013,68.61200714111328
S09707,L0225,E013,66.48250579833984
S09707,L0219,E013,66.48250579833984
S09245,L0222,E013,74.1705322265625
S09101,L0240,E013,72.5318832397461
S09073,L0236,E013,67.2313461303711
S09480,L0221,E013,68.61205291748047
S09641,L0224,E013,66.48250579833984
S08732,L0236,E013,74.17328643798828
S09961,L0227,E013,72.53229522705078
S09860,L0216,E013,72.53173828125
S09246,L0217,E013,67.23052215576172
S08807,L0242,E013,68.6120376586914
S09061,L0218,E013,66.48250579833984
S09777,L0243,E013,74.17117309570312
S09136,L0217,E013,72.5320816040039
S08901,L0217,E013,67.23066711425781
S09156,L0220,E013,68.61209869384766
S09069,L0200,E013,66.48250579833984
S09397,L0219,E013,74.17015075683594
S09803,L0201,E013,72.53192901611328
